Code	Short	Wolbachia	Spp	Perc_Dsim	CC	Country	Loc	Date	Year	Month	Day	Lat	Lon	Alt	Season	Flies	Kallithea_virus	Esparto_virus	Viltain_virus	Linvill_Road_virus	Tomelloso_virus	Mauternbach_virus	Yalta_virus	Drosophila-associated_Adintovirus_1	Drosophila-associated_Adintovirus_2	Drosophila-associated_Adintovirus_3	Filamentous_virus	Hytrosa_virus	Nudivirus_Kaniv	Vesanto_virus	Vesanto_S01	Vesanto_S02	Vesanto_S03	Vesanto_S04	Vesanto_S05	Vesanto_S06	Vesanto_S07	Vesanto_S08	Vesanto_S09	Vesanto_S10	Vesanto_S11	Vesanto_S12	Relative_Galbut																	
AT_Mau_14_01	2014_01	1.803528186	Dmel	0.001161284	AT	Austria	Mau	2014/07/20	Y2014	7	20	48.375	15.56	320	S	40	0	0	0.001018893	0	0	0	0	0	0	0	0	0	0	3.230478941	0.378815779	0.688900642	2.289142757	0.579140626	3.230478941	0.926906226	0.441819016	0.306995845	0	1.703150748	0.111404351	0	0																	
AT_Mau_14_02	2014_02	1.106873363	Dmel	0.000923017	AT	Austria	Mau	2014/10/19	Y2014	10	19	48.375	15.56	320	F	40	0.069447838	2.18E-05	0	0	0	0	0	0	0	0	0	0	0	2.175535475	0.10222393	0.243224224	0.963709418	0.322714953	2.175535475	0.012221529	0	0.088620468	0	0.559195565	0.054640486	0.587845313	0																	
TR_Yes_14_03	2014_03	6.358944594	Dsim	0.04220103	TR	Turkey	Yes	2014/08/31	Y2014	8	31	40.231444	32.260328	704	S	40	0.42449108	1.86E-05	0.002708132	0	0	0	0	0	0	0	0	0	0	0.002780621	0	0.002780621	0	0	0	0	0	0	0	0	0	0	0																	
TR_Yes_14_04	2014_04	1.077268606	Dmel	0.002347135	TR	Turkey	Yes	2014/10/23	Y2014	10	23	40.231444	32.260328	704	F	40	0.002308934	0.000131279	0.000598467	0.001233005	0	5.84E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
FR_Vil_14_05	2014_05	1.144628567	Dmel	0.002582861	FR	France	Vil	2014/08/18	Y2014	8	18	48.7543324	2.1584108	154.4	S	40	0.457868613	2.33E-05	0	0	0	1.39E-05	0	0	0	0	0	0	0	0.000733691	0.000733691	0	0	0	0	0	0	0	0	0	0	0	0																	
FR_Vil_14_07	2014_07	1.43493042	Dsim	0.055989229	FR	France	Vil	2014/10/27	Y2014	10	27	48.7543324	2.1584108	154.4	F	40	1.507036434	4.28E-05	37.96536503	0	0	3.80E-05	0	0	0	0	0	0	0	7.193502396	0.335501779	0.878450741	1.834683381	1.834024858	7.193502396	0.124713804	0	1.264033609	0	4.901703928	0.001069886	0	0																	
FR_Got_14_08	2014_08	1.241513822	Dmel	0.001798389	FR	France	Got	2014/07/08	Y2014	7	8	44.976813	4.930005	178	S	40	0.26151052	7.11E-05	0.023622578	0	0	2.81E-05	0	0	0	0	0	0	0	0.005234271	0.000496435	0.001478957	0.001784227	0.001265664	0.005234271	0	0	0.001417135	0	0.00418584	0	0	0																	
UK_She_14_09	2014_09	0.002191304	Dmel	0.003329024	UK	United Kingdom	She	2014/08/25	Y2014	8	25	53.39052	-1.520599	95.1	S	40	0.001243956	8.55E-06	0.016835574	0	0	1.01E-05	0	0	0	0	0	0	0	0.004956613	0	0	0.0012873	0.000684872	0.004956613	0	0	0.00153367	0	0.002265027	0	0	0																	
UK_Sou_14_10	2014_10	3.743582152	Dmel	0.001232969	UK	United Kingdom	Sou	2014/07/14	Y2014	7	14	55.972871	-3.351475	71.4	S	40	0.218326672	2.93E-05	0	0.042332578	0	0	0	0	0	0	0	0	0	0.01818167	0.008736991	0.006575716	0.002203612	0.002930925	0.01818167	0.00504097	0.003862405	0.005250702	0.006207862	0.013570535	0.001464929	0	0.041356289																	
CY_Nic_14_11	2014_11	5.04082755	Dmel	0.001388054	CY	Cyprus	Nic	2014/08/10	Y2014	8	10	35.066461	33.322646	264	S	40	0.000105613	0	0	0	0	0	0	0	0	0	0	0	0	0.000808245	0	0.000730789	0	0	0.000808245	0	0	0	0	0	0	0	0																	
